,date,close,diff,open,high,low,volume
211,2020-05-28,50400,500,51100,51200,49900,31309318
208,2020-05-29,50700,300,50000,50700,49700,27596961
207,2020-06-01,51200,500,50800,51200,50600,16949183
206,2020-06-02,51400,200,51000,51500,50800,14247933
205,2020-06-03,54500,3100,51800,55000,51700,49257814
204,2020-06-04,54600,100,55800,57000,54600,40220334
200,2020-06-05,55500,900,54400,55900,54000,22743629
199,2020-06-08,54900,600,56400,56500,54700,25634965
198,2020-06-09,55500,600,55800,56500,54400,23998831
197,2020-06-10,55400,100,55100,55900,54900,16742493
196,2020-06-11,54300,1100,54500,55100,53200,33815123
193,2020-06-12,52300,2000,52100,52800,51500,26976019
192,2020-06-15,49900,2400,51400,52000,49900,28772921
191,2020-06-16,52100,2200,51200,52100,50600,21808375
190,2020-06-17,52200,100,52100,52900,51300,26672595
189,2020-06-18,52300,100,52200,52300,51600,15982926
185,2020-06-19,52900,600,52600,52900,51600,18157985
184,2020-06-22,52000,900,52000,52600,51800,13801350
183,2020-06-23,51400,600,52500,52800,51100,18086152
182,2020-06-24,52900,1500,51900,53900,51600,24519552
181,2020-06-25,51900,1000,52100,53000,51900,18541624
178,2020-06-26,53300,1400,52800,53900,52200,21575360
177,2020-06-29,52400,900,52500,53200,52000,17776925
176,2020-06-30,52800,400,53900,53900,52800,21157172
175,2020-07-01,52600,200,53400,53600,52400,16706143
174,2020-07-02,52900,300,52100,52900,52100,14142583
170,2020-07-03,53600,700,53000,53600,52700,11887868
169,2020-07-06,55000,1400,54000,55000,53800,19856623
168,2020-07-07,53400,1600,55800,55900,53400,30760032
167,2020-07-08,53000,400,53600,53900,52900,19664652
166,2020-07-09,52800,200,53200,53600,52800,17054850
163,2020-07-10,52700,100,53100,53200,52300,13714746
162,2020-07-13,53400,700,53300,53800,53100,12240188
161,2020-07-14,53800,400,53700,53800,53200,14269484
160,2020-07-15,54700,900,54400,55000,54300,24051450
159,2020-07-16,53800,900,54800,54800,53800,16779127
